 11962   78.5316250000      78.5316033  -40.0612777778     -40.0612338     .0027  2733.148  1954.232    18.235     .0058      .634     .0086    17.601     .0064   18.407   17.560
101582   78.5210610000      78.5211081  -40.0442400000     -40.0442229     .0024  3311.572  3179.012    21.539     .0500      .678     .0568    20.861     .0270   21.727   20.821
 61859   78.5095000000      78.5095556  -40.0559444444     -40.0559308     .0027  3948.168  2335.957    20.790     .0210      .550     .0237    20.240     .0110   20.930   20.197
 49787   78.5264390000      78.5264995  -40.0470600000     -40.0470293     .0034  3014.401  2976.962    19.561     .0110      .638     .0329    18.923     .0310   19.734   18.882
 62969   78.5075000000      78.5074789  -40.0479166667     -40.0479233     .0010  4062.744  2912.484    14.376     .0010      .895     .0014    13.481     .0010   14.638   13.446
 51786   78.5239030000      78.5240732  -40.0505700000     -40.0505815     .0078  3148.117  2721.204    16.430     .0025      .028     .0045    16.402     .0037   16.413   16.357
 60179   78.5120416667      78.5120206  -40.0555555556     -40.0555276     .0019  3812.329  2365.023    18.839     .0050      .576     .0086    18.263     .0070   18.989   18.221
 49786   78.5265520000      78.5265234  -40.0472000000     -40.0472031     .0013  3013.080  2964.452    20.069     .0120      .160     .0170    19.909     .0120   20.079   19.866
 55692   78.5185416667      78.5185409  -40.0595000000     -40.0595088     .0004  3452.972  2078.419    17.281     .0037      .065     .0066    17.216     .0054   17.271   17.172
 34723   78.5440416667      78.5440255  -40.0482777778     -40.0482768     .0007  2048.443  2887.054    17.513     .0042      .197     .0071    17.316     .0057   17.532   17.273
101575   78.5211190000      78.5210897  -40.0443100000     -40.0443792     .0043  3312.583  3167.759    15.853     .0020      .028     .0035    15.825     .0029   15.836   15.780
 80700   78.5457916667      78.5457886  -40.0432777778     -40.0432746     .0002  1951.188  3247.192    17.856     .0050      .163     .0085    17.693     .0069   17.866   17.651
 49772   78.5263160000      78.5262776  -40.0472100000     -40.0472210     .0019  3026.625  2963.157    18.951     .0019      .602     .0029    18.349     .0022   19.110   18.307
 97428   78.5258750000      78.5258807  -40.0415555556     -40.0415613     .0004  3048.512  3370.663    15.875     .0020      .761     .0029    15.114     .0021   16.092   15.076
126055   78.5371666667      78.5371610  -40.0303055556     -40.0302633     .0025  2426.630  4184.080    15.196     .0015      .811     .0021    14.385     .0015   15.431   14.348
 48166   78.5274160000      78.5274548  -40.0576300000     -40.0575822     .0034  2961.750  2217.151    21.168     .0070      .603     .0122    20.565     .0100   21.329   20.523
